ax,ay,az,gx,gy,gz,label
4080,16544,1600,834,71,2552,caminar
4976,17844,2864,184,87,3876,caminar
3628,15624,3372,-1593,-267,3122,caminar
7472,20648,4760,-352,-691,-1435,caminar
6588,16156,4864,46,-355,2404,caminar
4732,9992,4828,1432,-422,1874,caminar
5260,11304,4420,1174,-1112,177,caminar
6588,14460,4768,-234,1362,1530,caminar
5724,13304,4576,-909,1471,1914,caminar
5900,13596,2156,-305,779,1208,caminar
5572,12896,1288,-417,397,-640,caminar
7204,15248,620,-760,977,-1623,caminar
7728,15064,40,757,1239,-790,caminar
7640,14188,256,1524,1182,-894,caminar
8064,15552,2136,832,279,-1932,caminar
6152,16572,3200,71,876,-2170,caminar
7084,20696,6748,-1225,-1033,-4377,caminar
6288,19608,4640,975,-361,821,caminar
2316,12076,3904,2494,-2492,1189,caminar
1740,13404,3080,3043,490,-233,caminar
5004,18048,3920,2978,3721,500,caminar
4140,14336,3068,3866,4219,2289,caminar
4672,13128,1900,3094,2951,-767,caminar
5020,12400,1336,1430,3565,-775,caminar
5488,13620,1144,-1115,2575,-2368,caminar
5520,15372,436,-1418,1185,-1827,caminar
4620,15016,-212,-1254,954,-770,caminar
3792,14028,-1048,-1521,2021,368,caminar
3808,14540,-92,-2593,1873,187,caminar
4140,16912,244,-3393,1521,31,caminar
4956,19368,-220,-2658,952,-10,caminar
4208,17872,1256,-969,2545,2977,caminar
6904,19296,3476,319,2695,1653,caminar
6636,15164,3864,1567,2849,4242,caminar
4848,9420,4768,1302,673,1760,caminar
6844,14108,4248,-291,-105,-1405,caminar
7532,17476,4308,-295,-145,315,caminar
5968,14580,3540,24,-367,1112,caminar
4972,12116,1920,98,-162,550,caminar
5224,12024,1284,-1045,372,-1225,caminar
6412,12528,644,-1555,349,-2290,caminar
7452,15400,308,-1276,-589,-2721,caminar
7292,15892,-792,-1279,-824,-2142,caminar
6808,16268,676,-629,-1121,-2809,caminar
6052,17536,2412,-1130,-1479,-3831,caminar
4776,18240,4700,-2258,-742,-3684,caminar
5960,19404,4444,-2425,-1464,-3460,caminar
3104,15880,4908,406,-3853,-611,caminar
1964,14712,2304,360,-413,-43,caminar
1484,14292,3260,921,3588,2796,caminar
2548,14008,4256,22,4038,1963,caminar
3632,14080,2856,434,2158,1771,caminar
3652,13556,1720,-155,1297,1049,caminar
4580,15492,568,-207,958,818,caminar
5048,16072,664,528,554,2091,caminar
4960,16508,776,1017,534,2626,caminar
5844,18060,2044,1464,164,2653,caminar
6420,17632,2216,-6,932,3732,caminar
6300,16796,2988,-820,-1365,-86,caminar
